message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,unknown,Unfamiliar sender query without prior conversation history.,0.85,"[message_0102, message_0243]"
msg_091,mute,scam,"Suspicious scam or phishing risk detected: Requests sensitive OTP, password, or login credentials.",0.9,"[message_0238, message_0381]"
msg_090,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0338, message_0339]"
msg_048,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0151, message_0152]"
msg_040,mute,forward,Forwarded message routed to digest or muted based on user interaction history.,0.93,"[message_0136, message_0259]"
msg_075,digest,unknown,Unfamiliar sender query without prior conversation history.,0.85,"[message_0205, message_0206]"
msg_005,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0065, message_0382]"
msg_104,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0224, message_0383]"
msg_069,mute,spam,Unwanted spam noise detected: Highly forwarded message with potential viral spam noise. Group is muted by user and message is non-urgent.,0.98,"[message_0080, message_0177]"
msg_107,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0213, message_0235]"
msg_070,digest,personal,Non-urgent personal message summarized for later reading.,0.9,"[message_0213, message_0369]"
msg_003,notify,business_update,Legitimate business transaction or delivery status update from a verified account.,0.89,"[message_0031, message_0400]"
msg_099,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0055, message_0249]"
msg_008,digest,unknown,Unfamiliar sender query without prior conversation history.,0.9,"[message_0072, message_0296]"
msg_092,digest,unknown,Unfamiliar sender query without prior conversation history.,0.85,"[message_0346, message_0385]"
msg_060,digest,promotion,Promotional offer saved in digest for review at a convenient time.,0.9,"[message_0176, message_0284]"
msg_004,notify,event,Scheduled event reminder or operational school/transport update.,0.85,"[message_0005, message_0245]"
msg_030,mute,promotion,Promotional offer muted due to user opt-out settings or muted group preference.,0.93,"[message_0025, message_0115]"
msg_045,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0145, message_0146]"
msg_052,mute,scam,Suspicious scam or phishing risk detected: Sender domain (talabat-refund.com) does not match official brand domain (talabat.com).,0.9,"[message_0159, message_0207]"
msg_009,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0073, message_0074]"
msg_071,digest,personal,Non-urgent personal message summarized for later reading.,0.85,"[message_0197, message_0198]"
msg_016,mute,scam,Suspicious scam or phishing risk detected: Contains suspicious phishing keywords or fake security alerts.,0.9,"[message_0024, message_0202]"
